SMILES	Count	Recruiters
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCOc5c4cccc5)NC	2	L00088,L00749
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCCc5c4cccc5)NC	2	L00067,L00745
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N)[NH3+]	2	L00133,L00761
CN1CCCc2c1cc(cc2)S(=O)(=O)N	2	L00385,L00800
CN(C)c1cccc2c1c(ccc2)N(C)C	2	L00053,L00736
CCn1c2ccc(c(c2nn1)C)[C@@H](CC(=O)O)c3cc(c4c(c3)CN(CC4)C(=O)c5ccccc5)C	2	L00058,L00744
CCc1cc(nc(n1)N(C)CC(=O)OCC)CC	2	L00040,L00718
CC[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCOc5c4cccc5)NC	2	L00093,L00751
CC[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@@H]3Cc4ccccc4N3C[C@H]2C(=O)N[C@@H]5CCOc6c5cccc6)NC	2	L00094,L00752
CCOc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCN(CC3)CCO)c4ccc(cc4)Br)c5ccc(cc5)Br)OC	2	L00272,L00795
CCCC1=CC(=O)Oc2c1ccc(c2)OC(=O)C	2	L00504,L00505
CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O	2	L00264,L00793
CC1=N[C@H]([C@H](N1)c2ccc(cc2)Cl)c3ccc(cc3)Cl	2	L00266,L00794
CC(C)c1c2c(nn1c3cnc(nc3OC)N(C)C)C(=O)N([C@H]2c4ccc(cc4)C#N)C5=CC(=CNC5=O)Cl	2	L00039,L00717
CC(C)N(C)c1c2cnn(c2ncn1)C	2	L00310,L00799
CC(C)C[C@@H](C(=O)NO)NC(c1c2ccc(cc2[nH]c1C(=O)NO)Cl)C(=O)NCc3ccccc3	2	L00092,L00750
CC(C)(Cc1ccccc1)c2cc3ccccc3c4n2ccn4	2	L00447,L00803
CC(=O)N1CCN(CC1)c2ccc3c(c2)nc(nc3NCCN)C4(CCCC4)c5ccc(cc5)Cl	2	L00449,L00804
CC#CCN(C)C1CCS(=O)(=O)CC1	2	L00523,L00524
C=CCc1cc(ccc1F)CNC(=O)[C@H](Cc2ccc(cc2)OP(=O)(O)O)NC(=O)Cc3ccc(cc3)F	2	L00041,L00719
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(NP(=O)(O)OP(=O)(O)O)O)O	2	L00027,L00700
C1CCN(CC1)C(=O)CN2CC[NH2+]CC2	2	L00134,L00762
C1CC(CCC1COC(=O)NC2CCC(=O)NC2=O)N	2	L00308,L00582
C(COCCOCCO)O	2	L00024,L00696
C(CCNCS)C[C@@H](C(=O)O)N	2	L00033,L00711
B(CNS(=O)(=O)Cc1cccc(c1)C(=O)O)(O)OP(=O)(O)O	2	L00034,L00712
