SMILES,RECRUITER_CODE
CC(C)n1c2c(nc1c3cnc(nc3OC)OC)C(=O)N([C@H]2c4ccc(cc4)Cl)C5=CC(=CN(C5=O)C)Cl,L00186
CC1(CN(C[C@@H]1O)c2c(cccn2)F)C,L00467
CC1=N[C@@]([C@@](N1C(=O)N2CCN(CC2)CCCS(=O)(=O)C)(C)c3ccc(cc3)Cl)(C)c4ccc(cc4)Cl,L00267
CC1=N[C@H]([C@H](N1)c2ccc(cc2)Cl)c3ccc(cc3)Cl,L00266
CC1=Nc2cccc(c2C(=O)N1[C@H]3CCC(=O)NC3=O)N,L00169
CC1CCC(CC1)Cn2c3c(cc(nc3c4cc(cnc4)Cl)C5=NOC(=O)N5)nc2N6CCO[C@H]7[C@H]6CCC7,L00071
CC1CCC(CC1)[C@@H](C)n2c3c(cc(nc3c4cc(cnc4)Cl)C5=NOC(=O)N5)nc2[C@H](C)COC,L00072
CCC(=O)NC[C@H]1CC[C@H]2C=C[C@H](N2C(=O)[C@H]1NC(=O)[C@H](C)NC)C(=O)NCc3ccccc3,L00205
CCC(=O)Nc1nc(cs1)C,L00284
CCC(=O)Oc1c(cccc1C(=O)O)C,L00388
CCCCCCC[C@](C)(C(=O)O)N,L00009
CCCC[C@@H]1CCCN1C(=O)[C@H]2CCC[C@H](C2)c3cccc(c3)n4c(c(cn4)C(=O)O)C5CC5,L00148
CCCC[C@H]1CCCN1C(=O)[C@H]2CCC[C@H](C2)c3cccc(c3)n4c(c(cn4)C(=O)O)C5CC5,L00372
CCCCc1ccc(cc1)S(=O)(=O)N(CC(=O)O)c2cccc(c2)n3c(c(cn3)C(=O)O)C4CC4,L00371
CCCN1c2ccc(cc2CCC1=O)NS(=O)(=O)Cc3ccc(c(c3)Cl)C,L00005
CCC[C@@H]1CCCCN1C(=O)c2cccc(c2)c3cccc(c3)n4c(c(cn4)C(=O)O)[C@@H]5C[C@H]5c6cn(nn6)C,L00147
CCC[C@@H]1CCCCN1C(=O)c2cccc(c2F)c3cccc(c3)n4c(c(cn4)C(=O)O)C5CC5,L00150
CCCc1ccc(cc1)S(=O)(=O)Nc2cccc(c2)n3c(c(cn3)C(=O)O)C4CC4,L00379
CCCn1c2ccccc2nc1NC(=O)CC,L00250
CCCn1cc(nn1)CN(C)C(=O)c2cc(c(s2)C)C3=C(CCC3)c4cc(sc4C)C(=O)N(C)Cc5cn(nn5)CC,L00348
CCN(CC)C(=O)c1cccc2c1-c3ccccc3C2=O,L00438
CCN1CCCC[C@@H]1[C@@H](C)Oc2ccc3c(c2)CN(C3=O)[C@H]4CCC(=O)NC4=O,L00415
CCOC(=O)CN1CCS(=O)(=O)CC1,L00453
CCO[C@@H](c1nc2cc(nc(c2n1[C@H](C)C3CCC(CC3)C)c4cc(cnc4)Cl)C5=NOC(=O)N5)C6CC6,L00073
CCO[C@@H]1C[C@@H]2CN([C@@H](CN2C1)C(=O)N[C@@H]3CCOc4c3cccc4)C(=O)[C@H](C5CCC(CC5)(F)F)NC(=O)[C@H](C)NC,L00028
CCOc1cc(ccc1C2=N[C@@]([C@@](N2)(C)c3ccc(cc3)Cl)(C)c4ccc(cc4)Cl)C(C)(C)C,L00268
CCOc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCN(CC3)CCO)c4ccc(cc4)Br)c5ccc(cc5)Br)OC,L00272
CCOc1cc2c(cc1OCC)[C@@H](N(C(=O)C2)c3ccc(cc3OCc4[nH]nnn4)C)c5ccc(cc5)Cl,L00129
CCOc1ccc(cc1)S(=O)(=O)Nc2cc(c(c3c2cccc3)NS(=O)(=O)c4ccc(cc4)OCC)CC(=O)C,L00314
CCOc1cccc(c1)CN2[C@H]([C@H]([C@@H]([C@@]23c4ccc(cc4NC3=O)Cl)c5cccc(c5F)Cl)N)C,L00157
CCOc1ccccc1N2CCNCC2,L00253
CCS(=O)(=O)Nc1ccc(cc1)C2=N[C@H](c3nnc(n3-c4c2c(c(s4)C)C)C)CC(=O)OC(C)(C)C,L00484
CC[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@@H]3Cc4ccccc4N3C[C@H]2C(=O)N[C@@H]5CCOc6c5cccc6)NC,L00094
