Ligase,Scaffold_ID,Recruiter_Count,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
KEAP1,KEAP1_SCAF_3,3,O=C1c2ccccc2C(=O)N1C[C@@H]1c2ccccc2CCN1C(=O)C1CCCCC1,O=C1c2ccccc2C(=O)N1C[C@@H]1c2ccccc2CCN1C(=O)C1CCCCC1,Polycyclic_Hetero,-1.5543122344752192e-15,9.200973316580985e-15,-3.0347748124017112e-15,1,87,0.034482758620689655,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_30,2,O=C([C@H]1CCC[C@@H](c2cccc(-n3nccc3C3CC3)c2)C1)N1CCCC1,O=C([C@H]1CCC[C@@H](c2cccc(-n3nccc3C3CC3)c2)C1)N1CCCC1,Polycyclic_Hetero,-1.031079983298306e-13,-6.144291424854081e-14,0.2036053606243133,1,87,0.022988505747126436,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_31,1,O=S(=O)(Nc1cccc(-n2ncc(-c3nn[nH]n3)c2C2CC2)c1)c1ccccc1,O=S(=O)(Nc1cccc(-n2ncc(-c3nn[nH]n3)c2C2CC2)c1)c1ccccc1,Polycyclic_Hetero,3.751588411907268e-14,-9.984766636683202e-15,0.05623963201067807,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_32,2,O=S(=O)(Nc1cccc(-n2nccc2[C@H]2C[C@@H]2c2ccccc2)c1)c1ccccc1,O=S(=O)(Nc1cccc(-n2nccc2[C@H]2C[C@@H]2c2ccccc2)c1)c1ccccc1,Polycyclic_Hetero,3.2340143634963385e-14,1.36034974134953e-14,-0.09526067488003268,1,87,0.022988505747126436,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_33,1,C(COCCOCCO)O,,Acyclic,2.868076146948321e-15,-7.771561172376096e-16,-0.0712952943561865,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_34,1,c1ccc(CC2CCCC2)cc1,c1ccc(CC2CCCC2)cc1,Bicyclic,-3.378250060645119e-15,-1.3005469717037547e-15,1.3877787807814457e-16,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_35,1,c1cc2c(s1)CCOC2,c1cc2c(s1)CCOC2,Bicyclic_Hetero,7.436861584069982e-16,3.918434204559376e-15,-6.938893903907228e-16,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_36,1,c1ccncc1,c1ccncc1,Monocyclic_Hetero,1.574498107650222e-15,7.468773074751053e-16,2.0236337857940353e-15,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_37,3,O=C1c2ccccc2-c2ccccc21,O=C1c2ccccc2-c2ccccc21,Polycyclic_Hetero,2.6443493859253727e-15,-1.0698512782751509e-15,-0.027459946190267256,1,87,0.034482758620689655,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_38,1,c1ccc2ncccc2c1,c1ccc2ncccc2c1,Bicyclic_Hetero,2.778822923400024e-14,5.551115123125783e-15,-5.94687697778628e-14,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
